,Ecxitation_750,,Excitation_690,,Emission_550,,Emission_600,,Blank_600
645,2315349,645,6756289,,,,,645,9359.454
646,2317208,646,6768469,,,,,646,7834.178
647,2319318,647,6796179,,,,,647,9211.135
648,2306287,648,6761746,,,,,648,8934.378
649,2319006,649,6724599,,,,,649,8336.018
650,2253717,650,6663515,,,,,650,9096.951
651,2225637,651,6581576,,,,,651,10852.67
652,2180989,652,6451012,,,,,652,10526.29
653,2106118,653,6286653,,,,,653,9183.241
654,2014957,654,6060179,,,,,654,8321.041
655,1917738,655,5823069,,,,,655,9891.961
656,1795182,656,5514440,,,,,656,10847.17
657,1665466,657,5184723,,,,,657,10753.02
658,1566261,658,4817077,,,,,658,11175.37
659,1439211,659,4439541,,,,,659,10519.25
660,1285373,660,3940927,,,,,660,12958.33
661,1176674,661,3591734,,,,,661,12969.98
662,1031856,662,3166269,,,,,662,12610.55
663,912108.3,663,2834080,,,,,663,11004.54
664,794473.4,664,2493313,,,,,664,12170.22
665,693899.3,665,2187861,,,,,665,11775.47
666,611792.9,666,1920718,,,,,666,11091.16
667,536925.8,667,1700711,,,,,667,11605.56
668,463540,668,1504266,,,,,668,11301.01
669,415695.3,669,1310086,,,,,669,14020.61
670,364025.9,670,1163557,,,,,670,12202.83
671,326014.8,671,1028215,,,,,671,12276.24
672,281412.7,672,900635.6,,,,,672,11845.63
673,256134.3,673,810709.9,,,,,673,12551.77
674,231095.3,674,716435.9,,,,,674,12706.19
675,206609.6,675,642704.7,,,,,675,11178
676,185137,676,571090.5,,,,,676,13365.08
677,167008.8,677,517226,,,,,677,13046.69
678,155007.8,678,471860.7,,,,,678,13389.96
679,137964.5,679,422480.8,,,,,679,17265.51
680,123523.3,680,406994,,,,,680,35404.76
681,118747.1,,,,,,,681,87269.13
682,103700.5,,,,,,,682,200074.6
683,96915.86,,,,,,,683,339032.6
684,91583.12,,,,,,,684,495690.5
685,81815.79,,,,,,,685,611310.1
686,75788.81,,,,,,,686,707013.6
687,72249.39,,,,,,,687,750915.1
688,68947.84,,,,,,,688,794994.5
689,61541.55,,,,,,,689,808023
690,58921.19,,,,,,,690,828814.4
691,57086.77,,,,,,,691,831455.3
692,53327.6,,,,,,,692,806505.1
693,49167.63,,,,,,,693,740033.9
694,48825.46,,,,,,,694,594210.4
695,49417.54,,,,,,,695,429607.6
696,49870.35,,,,,,,696,271795.5
697,44795.39,,,,,,,697,135866
698,45624.15,,,,,,,698,46377.25
699,47342.73,,,,,,,699,16432.08
700,44863.35,,,,,,,700,11589.8
701,45774.72,,,,,,,701,11204.2
702,43514.7,,,,,,,702,9481.146
703,45697.18,,,,,,,703,12198.12
704,46329.63,,,,,,,704,9853.213
705,45889.3,,,,,,,705,9733.484
706,44071.65,,,,,,,706,9918.855
707,45568.09,,,,,,,707,9423.621
708,47759.95,,,,,,,708,9742.438
709,42579.52,,,,,,,709,10999.1
710,46997.82,,,,,,,710,9536.332
711,43998.97,,,,,,,711,10825.73
712,41655.42,,,,,,,712,9440.675
713,44149.9,,,,,,,713,8557.617
714,40138.09,,,,,,,714,9059.043
715,38742.38,,,,,,,715,8416.632
716,44219.38,,,,,,,716,7259.793
717,42700.12,,,,,,,717,7108.679
718,43029.2,,,,,,,718,8712.98
719,41774.81,,,,,,,719,7333.06
720,43100.5,,,,,,,720,8132.074
